park,year,visits,park_name,rgn_area,tot_area,rgn_id
NA,NA,NA,bowserecologicalreserve,1130848.08985708,1130848.08985708,6
NA,NA,NA,ambroselakeecologicalreserve,2947235.37527135,2947235.37527135,6
NA,NA,NA,canoeisletsecologicalreserve,10251.742379941,10251.742379941,6
NA,NA,NA,pineconeburkepark,130280480.966819,372030774.756606,6
NA,NA,NA,woodleyrangeecologicalreserve,1587737.8751152,1587737.8751152,6
NA,NA,NA,malaspinapark,5755550.24729528,5755550.24729528,6
NA,NA,NA,evespark,192217.491551967,192217.491551967,6
NA,NA,NA,galianoislandecologicalreserve,254246.81802845,254246.81802845,6
NA,NA,NA,satellitechannelecologicalreserve,3401912.45094498,3401912.45094498,6
NA,NA,NA,bowenislandecologicalreserve,3996080.55598763,3996080.55598763,6
NA,NA,NA,whaleboatislandmarinepark,105160.571800947,105160.571800947,6
NA,NA,NA,mounttzuhalemecologicalreserve,182364.521914563,182364.521914563,6
NA,NA,NA,lasquetiislandecologicalreserve,2105397.32243948,2105397.32243948,6
NA,NA,NA,comoxlakebluffsecologicalreserve,437351.328089309,437351.328089309,6
NA,NA,NA,hardyislandmarinepark,140635.888345532,140635.888345532,6
NA,NA,NA,stawamuschiefprotectedarea,23622.0597495511,23622.0597495511,6
NA,NA,NA,sabinechannelpark,22561873.8096378,22561873.8096378,6
NA,NA,NA,baynesislandecologicalreserve,446644.848689743,446644.848689743,6
NA,NA,NA,collisonpointpark,226504.897244871,226504.897244871,6
NA,NA,NA,mountmaxwellecologicalreserve,4177601.26635611,4177601.26635611,6
NA,NA,NA,denmanislandpark,5611378.15764199,5611378.15764199,6
NA,NA,NA,memoryislandpark,11025.0574645165,11025.0574645165,6
NA,NA,NA,denmanislandprotectedarea,921130.825731259,921130.825731259,6
NA,NA,NA,mountelphinstonepark,1403312.30644236,1403312.30644236,6
NA,NA,NA,ballingallisletsecologicalreserve,4564.83213989832,4564.83213989832,6
NA,NA,NA,ducklakeprotectedarea,7683579.76057734,7683579.76057734,6
NA,NA,NA,simsonpark,4839027.40254223,4839027.40254223,6
NA,NA,NA,clendinningpark,9056110.66574442,303594332.077539,6
NA,NA,NA,roscoebaypark,2415856.02097994,2415856.02097994,6
NA,NA,NA,boylepointprotectedarea,93031.9829615169,93031.9829615169,6
NA,NA,NA,eastredondaislandecologicalreserve,61843076.1967392,61843076.1967392,6
NA,NA,NA,hudsonrocksecologicalreserve,495234.135189474,495234.135189474,6
NA,NA,NA,southtexadaislandpark,10951387.5159436,10951387.5159436,6
NA,NA,NA,francispointecologicalreserve,173384.737350434,173384.737350434,6
NA,NA,NA,kittycolemanbeachpark,91365.8718648851,91365.8718648851,6
NA,NA,NA,spipiyuspark,29823043.2439873,29823043.2439873,6
NA,NA,NA,arbutusgrovepark,224229.809874514,224229.809874514,6
NA,NA,NA,harmonyislandsmarinepark,429987.56729658,429987.56729658,6
NA,NA,NA,spectaclelakepark,671079.675263412,671079.675263412,6
NA,NA,NA,mountgeoffreyescarpmentpark,1889653.19226317,1889653.19226317,6
NA,NA,NA,jajiemandkwulhmarineparkakasandyisland,302400.631354687,302400.631354687,6
NA,NA,NA,brackendaleeaglespark,7644883.90955059,7644883.90955059,6
NA,NA,NA,halkettbaymarinepark,4482604.10515581,4482604.10515581,6
NA,NA,NA,roseisletsecologicalreserve,14247.6324397828,14247.6324397828,6
NA,NA,NA,woodmountainskipark,1016124.69321017,1016124.69321017,6
NA,NA,NA,mountrichardsonpark,10013726.9470664,10013726.9470664,6
NA,NA,NA,andersonbaypark,351936.142433028,351936.142433028,6
NA,NA,NA,mounttuamecologicalreserve,3615287.49266228,3615287.49266228,6
NA,NA,NA,mordencollierypark,42269.5448357768,42269.5448357768,6
NA,NA,NA,kinbeachpark,41936.1988944523,41936.1988944523,6
NA,NA,NA,beaverpointpark,166729.017242253,166729.017242253,6
NA,NA,NA,saynuthkhawyumparkakaindianarmpark,66935475.6181571,66935475.6181571,6
